Comment,Designator,Footprint,LCSC
22pF,"C_crystal1,C_crystal2",C_0402_1005Metric,C106203
ATmega32U4-M,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C112161
4.7nF,C_USBSHIELD1,C_0402_1005Metric,C1538
500mA,F_USBC1,Fuse_1206_3216Metric,C155093
0.1uF,"C_Decoupler1,C_Decoupler2,C_Decoupler3,C_Decoupler5",C_0402_1005Metric,C161338
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
Crystal_GND24_Small,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C179643
1uF,C_UCAP1,C_0402_1005Metric,C182246
1M,R_USBSHIELD1,R_0402_1005Metric,C20955
10uF,C_Decoupler4,C_0402_1005Metric,C237279
22ohm,"R_USB3,R_USB4",R_0402_1005Metric,C25092
5.1k,"R_USB1,R_USB2",R_0402_1005Metric,C25905
PRTR5V0U2X,D59,SOT-143,C2827688
SW_Push,SW2,SKQG-1155865,C318884
MX-NoLED,"MX1,MX10,MX11,MX12,MX13,MX14,MX15,MX16,MX17,MX18,MX19,MX2,MX20,MX21,MX22,MX23,MX24,MX25,MX26,MX27,MX28,MX29,MX3,MX30,MX31,MX32,MX33,MX34,MX35,MX36,MX37,MX38,MX39,MX4,MX40,MX41,MX42,MX43,MX44,MX45,MX46,MX47,MX48,MX49,MX5,MX50,MX51,MX52,MX53,MX54,MX55,MX56,MX57,MX58,MX6,MX7,MX8,MX9",MXOnly-1U-Hotswap,C5156480
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D6,D7,D8,D9",D_SOD-123F,C64898
10k,R_reset1,R_0402_1005Metric,C77131
